Opportunity Name,Category,Provider,Description,Priority Level,Action To Take,Minimum CGPA,Eligible Degrees,Eligible Countries,Min Age,Max Age,Primary Skills,Interests
Rhodes Scholarship,Scholarships,Oxford University,Fully funded postgrad studies at Oxford for outstanding leaders.,Critical,Apply on Oxford Portal,9.25,Bachelors / Masters,Global,21,28,"Leadership, Research, Critical thinking",Academia / Global Affairs
Gates Cambridge Scholarship,Scholarships,Gates Foundation,Fully funded postgraduate degrees at the University of Cambridge.,High,Complete Cambridge Graduate Application,9.5,Bachelors / Masters,Global,20,30,"Research, Problem solving, Academic writing",Science / Social Impact
Google STEP Internship,Internships,Google,Development internship for first/second-year computer science undergrads.,Critical,Submit application on Google Careers,7.5,Bachelors,Global,18,22,"Python, Java, Git, Data Structures",Software Engineering / Tech
Thiel Fellowship,Startup incubators,Thiel Foundation,$100k grant and mentorship for young visionaries who drop out to build startups.,Critical,Apply on Thiel Foundation site,0.0,High School / Bachelors,Global,18,22,"Entrepreneurship, Bold vision, Software, Hardware",Founding / Tech
Fulbright Student Program,Scholarships,US Department of State,Fully funded grants for graduate research or teaching assistantships in the US.,High,Submit via US Embassy portal,8.75,Bachelors / Masters,Global,21,35,"Cross-cultural communication, Research",International Relations
NexaMind Challenge 2026,Hackathons,NexaMind Corp,Global artificial intelligence and career acceleration hackathon MVP project contest.,Critical,Build MVP and submit on Devpost,7.5,High School / Bachelors / Masters / PhD,Global,16,35,"TypeScript, React, Python, Gemini API",AI / Product Design
CERN Summer Student Program,Research programs,CERN,Spend summer in Geneva doing computing or physics research at the Large Hadron Collider.,High,Register on CERN Careers,8.25,Bachelors / Masters,Global,19,26,"C++, Python, Data Analysis, Physics",Physics / Computing
Y Combinator Winter 2026,Startup incubators,Y Combinator,$500k standard startup funding and world-renowned 3-month acceleration.,Critical,Submit application on Bookface,0.0,Any,Global,18,45,"Product design, Coding, Business, Growth",Startups / Product
Erasmus Mundus Joint Masters,Scholarships,European Union,Fully funded master degrees across multiple universities in Europe.,High,Apply through Erasmus joint catalog,8.0,Bachelors,Global,20,32,"Academic research, Multilingualism",Global Studies / Research
NASA Space Apps Challenge,Hackathons,NASA,The world's largest global space solution hackathon solving planetary issues.,Medium,Register at Space Apps local node,0.0,Any,Global,10,40,"HTML, Node.js, Python, GIS, Space Science",Astronomy / Systems
Fulbright Scholar Program,Scholarships,US Govt Department,Exchange program for advanced researchers to conduct collaboration.,High,Submit research proposal link,8.75,PhD,Global,25,50,"Advanced research, Writing, Speaking",Academia / Innovation
Microsoft Research Internship,Internships,Microsoft,Work on state-of-the-art AI and operating systems models with world experts.,Critical,Submit CV with references to MSR portal,9.0,Masters / PhD,Global,20,35,"Python, Deep Learning, C++, Distributed Systems",AI Research / Computing
Caltech SURF Program,Research programs,Caltech,Summer Undergraduate Research Fellowship conducting research at Caltech or JPL.,High,Reach out to Faculty sponsor directly,8.75,Bachelors,Global,18,25,"Mathematics, Physics, Lab experience, Coding",Space Sci / Deep Engineering
MIT UROP Student Exchange,Research programs,MIT,Undergraduate research opportunities program working on breakthrough tech.,Medium,Contact MIT lab lead directly,8.5,Bachelors,Global,18,24,"Scientific writing, CAD, Python",Material Science / Computing
SpaceX Engineering Internship,Internships,SpaceX,Rigorous hands-on engineering experience designing rockets and spacecraft.,Critical,Apply early on SpaceX careers portal,8.0,Bachelors / Masters,Global,18,30,"Aerodynamics, SolidWorks, C++, Rust",Aerospace / Hardware
Google for Startups Accelerator,Startup incubators,Google,Equity-free mentoring and Google Cloud credits for growth-stage startups.,High,Apply custom deck on Google Startups site,0.0,Any,Global,18,45,"Leadership, Scale, Pitching, Business",Founding / Cloud
Chevening Scholarship,Scholarships,UK Government,Fully funded master degrees in the UK for future global leaders.,High,Submit UK embassy application,8.25,Bachelors,Global,21,38,"Leadership, Diplomacy, Public Policy",Governance / Development
Max Planck Research Internship,Research programs,Max Planck Society,Fully funded research internships in Germany looking at quantum mechanics and AI.,High,Upload transcripts on Max Planck portal,9.0,Bachelors / Masters,Global,20,29,"Python, Physics, Deep Learning, Mathematics",Academia / Physics
DAAD Scholarship,Scholarships,German Academic Exchange,Fully funded postgraduate degrees in academic research in Germany.,High,Submit research plan to German agency,8.0,Bachelors / Masters,Global,21,32,"Academic inquiry, Cultural exchange",Research / Social Impact
World Bank Fellowship,Scholarships,World Bank,Fully funded fellowship working on global poverty alleviation and development.,High,Submit essay on World Bank portal,8.75,Masters / PhD,Global,24,35,"Data Science, Economics, Public Policy",Social Impact / Finance
MIT Solve Challenge,Startup incubators,MIT,Funding and acceleration marketplace for social impact innovators.,High,Submit pitch on MIT Solve registry,0.0,Any,Global,18,45,"Social impact, Entrepreneurship, Project management",Founding / Social Impact
Schmidt Science Fellowship,Scholarships,Schmidt Futures,Postdoc fellowship for scientist pivots into new disciplines ($100k+),Critical,Submit nomination package via university,9.5,PhD,Global,25,35,"Interdisciplinary research, Advanced STEM",Science / Biotech
Emergent Ventures Grant,Startup incubators,Mercatus Center,Micro-grants for bold builders working on non-obvious breakthroughs.,High,Submit 2-page bold proposal to Tyler Cowen,0.0,Any,Global,15,32,"Creative writing, Coding, Independent research",Founding / Research
UN Youth Leadership Program,Government schemes,United Nations,Fellowship training youth leaders on Sustainable Development Goals (SDGs).,Medium,Submit video proposal to UN portal,0.0,Bachelors / Masters,Global,18,30,"Public speaking, Campaign organizer, Community outreach",Social Impact / Policy
MEXT Scholarship,Scholarships,Government of Japan,Fully funded undergrad and grad education in Japan with language prep.,High,Apply through Japanese consulate,7.5,Bachelors / Masters,Global,17,25,"Japanese, Adaptability, Self-reliance",International Relations
AI for Earth Grants,Government schemes,Microsoft / Oceans,Grants for environment monitors using computer vision for climate conservation.,High,Apply on AI for Earth project tracker,7.5,Bachelors / Masters / PhD,Global,18,35,"Python, Geopandas, OpenCV, Data Science",Earth Science / AI
Indian PM Research Fellowship,Government schemes,Indian Government,High-valued PhD fellowships for top-tier Indian institute students (PMRF).,High,Apply through PMRF nodal portal,9.5,Bachelors / Masters,India,19,30,"Advanced Research, Publications, Engineering",Academia / Engineering
Innovate UK Smart Grants,Government schemes,UK Government,R&D funding for disruptive business and science startups based in the UK.,High,Apply on UK Gov Funding portal,0.0,Any,United Kingdom,18,50,"R&D strategy, Business plan, Tech innovation",Founding / Deep Tech
ETHGlobal London 2026,Hackathons,ETHGlobal,Web3 and decentralized finance hackathon hacking with global smart developers.,Medium,Register early on ETHGlobal London portal,0.0,Any,Global,18,35,"Solidity, Rust, React, Smart Contracts",Web3 / Cryptocurrency
Thurgood Marshall Fund,Scholarships,TMCF,Scholarships for students attending Historically Black Colleges (HBCUs).,High,Apply early on TMCF online system,7.5,Bachelors,United States,17,25,"Community focus, Integrity",Education / Inclusion
Techstars Accelerator,Startup incubators,Techstars,Investment and intensive 3-month mentoring network for tech founders.,High,Submit F6S form profile,0.0,Any,Global,18,50,"Agile development, MVP, Pitch pitching",Founding / Tech
Harvard Amgen Scholars,Research programs,Harvard University,Summer research program in biotechnology and biomedical departments.,Critical,Apply on Amgen Scholars portal,8.75,Bachelors,Global,19,24,"Biochemistry, Lab techniques, Python",Biotech / Science
